species,common,col,origin,prevalence,mean_log1p,std_log1p,max_log1p,median_log1p,mean_log1p_nz,mean_count,max_count,role,n_folds,mean_corr,median_corr,std_corr,mean_r2,median_r2,mean_F1_t0_5,mean_F1_best,mean_rmse
Poecilia latipinna,Poecilia latipinna,113,community,0.017024139618333062,0.031609364,0.2880269,7.098376,0.0,1.8567379,0.32971781,1209.0002,feature,,,,,,,,,
Alburnops petersoni,Alburnops petersoni,75,community,0.01684064589789594,0.043736883,0.3809352,6.660575,0.0,2.5971024,0.6051011,779.9998,feature,,,,,,,,,
Litopenaeus setiferus,Litopenaeus setiferus,104,community,0.014699885826129506,0.029666923,0.29651484,8.740657,0.0,2.018174,0.5913595,6251.001,feature,,,,,,,,,
Micropterus salmoides,Micropterus salmoides,111,community,0.014699885826129506,0.023045097,0.2243006,9.1355095,0.0,1.5677059,0.35620216,9278.004,feature,,,,,,,,,
Acanthostracion quadricornis,Acanthostracion quadricornis,121,community,0.013925134562061655,0.015313117,0.14542261,3.713572,0.0,1.0996747,0.038798727,40.0,feature,,,,,,,,,
Lutjanus synagris,Lutjanus synagris,107,community,0.01370086445930517,0.017271204,0.16680585,3.9318256,0.0,1.2605925,0.05241804,50.0,feature,,,,,,,,,
Prionotus scitulus,Prionotus scitulus,114,community,0.01308921872451476,0.011720615,0.10951877,2.6390574,0.0,0.8954405,0.021672647,13.000001,feature,,,,,,,,,
Gymnura lessae,Gymnura lessae,136,community,0.012783395857119557,0.01326085,0.12911911,4.5217886,0.0,1.0373496,0.030582286,91.0,feature,,,,,,,,,
Lepomis microlophus,Lepomis microlophus,101,community,0.012212526504648508,0.018034134,0.1879994,4.882802,0.0,1.4766915,0.075701356,131.00002,feature,,,,,,,,,
Lepomis punctatus,Lepomis punctatus,102,community,0.012171750122329147,0.018229438,0.19023064,5.602119,0.0,1.4976841,0.08275567,270.00003,feature,,,,,,,,,
Lepomis macrochirus,Lepomis macrochirus,100,community,0.012049420975371065,0.019401785,0.2061462,6.152733,0.0,1.6101843,0.10909721,469.00006,feature,,,,,,,,,
Bathygobius soporator,Bathygobius soporator,78,community,0.012008644593051704,0.013168911,0.13384186,4.4188404,0.0,1.0966191,0.03266188,81.999985,feature,,,,,,,,,
