bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
AP,Callinectes sapidus_R,2011.0,256.44026142884843,529.0000043602366,0.1548552303314302,0.3194444470774376,0.00088795169722285,0.0,1656,
AP,Callinectes sapidus_R,2012.0,466.9297366854273,381.9999998229755,0.28196240138008893,0.2306763283955166,0.002271146280691,0.0,1656,
AP,Callinectes sapidus_R,2013.0,201.5811430331499,359.0000023092015,0.12172774337750598,0.2167874410079719,0.00058842872385865,0.0,1656,
AP,Callinectes sapidus_R,2014.0,252.49853114594038,524.0000025225588,0.15247495842146158,0.31642512229623115,0.0008098515681922,0.0,1656,
AP,Callinectes sapidus_R,2015.0,243.25414793535705,493.00000405655976,0.14689260141023977,0.2977053164592752,0.00191757269203655,0.0,1656,
AP,Callinectes sapidus_R,2016.0,222.0082461295988,452.0000054196367,0.13406295056135192,0.2729468631761091,0.00210138806141905,0.0,1656,
AP,Callinectes sapidus_R,2017.0,370.3349567294836,473.0000080198228,0.22363222024727272,0.2856280241665597,0.00239322427660225,0.0,1656,
AP,Callinectes sapidus_R,2018.0,243.3353468872388,472.0000073716667,0.14694163459374324,0.28502415904086154,0.00131939776474605,0.0,1656,
AP,Callinectes sapidus_R,2019.0,169.81198732425392,569.0000073221836,0.10254347060643353,0.34359903823803356,0.0021168591920286,0.0,1656,
AP,Callinectes sapidus_R,,409.0379939718887,550.0000054200832,0.29640434345789035,0.3985507285652777,0.02637460269033905,0.0,1380,1.0
AP,Callinectes sapidus_R,,316.5771483078056,540.0000077423721,0.22940373065783015,0.3913043534365015,0.015986385755240848,0.0,1380,2.0
AP,Callinectes sapidus_R,,189.32449936318835,439.0000029039253,0.13719166620520895,0.3181159441332792,0.0061019801069051,0.0,1380,3.0
AP,Callinectes sapidus_R,,37.48078447266886,254.0000030996136,0.027159988748310767,0.18405797326058956,0.0013319619465619,0.0,1380,4.0
