bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
CK,Sciaenops ocellatus_R,,6.418259053845716,0.0,0.005556934245753867,0.0,0.004410333931446,0.0,1155,5.0
CK,Sciaenops ocellatus_R,,7.011703214305227,0.0,0.006070738713684179,0.0,0.0044976435601711,0.0,1155,6.0
CK,Sciaenops ocellatus_R,,7.619367769415433,0.0,0.006596855211615094,0.0,0.0047262148000299,0.0,1155,7.0
CK,Sciaenops ocellatus_R,,8.419511162336631,0.0,0.007289620053971109,0.0,0.0048012477345764,0.0,1155,8.0
CK,Sciaenops ocellatus_R,,19.466806617048814,8.000000217474796,0.016854378023418888,0.006926407114696793,0.0065471730194985,0.0,1155,9.0
CK,Sciaenops ocellatus_R,,70.27019042223397,57.00000122131257,0.06083999170756187,0.049350650408062836,0.0084749851375818,0.0,1155,10.0
CK,Sciaenops ocellatus_R,,250.91529994649136,415.00000069991404,0.21724268393635615,0.3593073599133455,0.0128297787159681,0.0,1155,11.0
CK,Sciaenops ocellatus_R,,154.3964409517648,190.00000146504158,0.1336765722526102,0.16450216577059876,0.0124496361240744,0.0,1155,12.0
CK,Sciaenops ocellatus_SA,2010.0,220.27837482467294,94.00000207041535,0.23839650955051184,0.10173160397231099,0.1278785318136215,0.0,924,
CK,Sciaenops ocellatus_SA,2011.0,108.2507061413489,82.00000118057852,0.11715444387591872,0.08874459002227113,0.034377476200461346,0.0,924,
CK,Sciaenops ocellatus_SA,2012.0,177.42469980409078,111.0000022105259,0.19201807338105062,0.12012987252221419,0.10082212090492246,0.0,924,
CK,Sciaenops ocellatus_SA,2013.0,121.03520768358791,106.00000168103278,0.13099048450604753,0.11471861653791426,0.053143884986638995,0.0,924,
CK,Sciaenops ocellatus_SA,2014.0,133.64611736615188,176.00000373992765,0.14463865515817304,0.1904761945237312,0.06969792395830149,0.0,924,
CK,Sciaenops ocellatus_SA,2015.0,171.01012432947755,235.00000481548844,0.18507589213146922,0.2543290095405719,0.07498535513877864,0.0,924,
CK,Sciaenops ocellatus_SA,2016.0,201.18495069793744,241.00000462790015,0.2177326306254734,0.26082251583106075,0.048658788204193046,0.0,924,
CK,Sciaenops ocellatus_SA,2017.0,277.11404639389366,133.00000183970553,0.299906976616768,0.14393939593041724,0.1269729658961296,0.0,924,
