year,species,F1_best_run_a,F1_best_run_g,corr_run_a,corr_run_g,r2_run_a,r2_run_g,dcorr,dr2,dF1_best
2011,Cynoscion nebulosus_R,0.7504952802703647,0.7618666666666667,0.7488924924296159,0.6539602100583314,0.5492395592909535,0.36323229825951864,-0.09493228237128448,-0.18600726103143483,0.011371386396301975
2011,Lutjanus griseus_R,0.409261576971214,0.5569060773480663,0.8531694108162948,0.5463943040546706,0.7072819996911024,-0.002779491005131751,-0.30677510676162423,-0.7100614906962341,0.14764450037685228
2011,Lutjanus griseus_SA,0.508605188800411,0.6172718351324828,0.7933333416774719,0.5482317922963944,0.6241345362637609,0.05945415590907133,-0.24510154938107753,-0.5646803803546896,0.1086666463320719
2011,Mycteroperca microlepis_SA,0.26195259140216953,0.33216448836467966,0.8810488405058556,0.7774346680729575,0.7044414714494038,0.2978109884278869,-0.10361417243289817,-0.40663048302151694,0.07021189696251012
2011,Sciaenops ocellatus_R,0.5642849444983296,0.47193062528525787,0.34620735626138766,0.5082404626377564,0.05961381488345752,0.23075850297402412,0.1620331063763687,0.1711446880905666,-0.09235431921307169
2011,Sciaenops ocellatus_SA,0.729925275767999,0.753829518832222,0.7668307443011702,0.7369169350428602,0.5760869877699083,0.5228447497631423,-0.029913809258309998,-0.053242238006765974,0.023904243064223007
2012,Archosargus probatocephalus_A,0.7608721553675682,0.7782379518072289,0.80203448926137,0.6300039623787408,0.6119820253754429,0.3934783752920439,-0.1720305268826292,-0.218503650083399,0.01736579643966063
2012,Archosargus probatocephalus_R,0.10600706713780919,0.46211289259828686,0.546278724929101,0.2102453294003429,0.25616205361475863,-0.010331931686956342,-0.3360333955287581,-0.266493985301715,0.35610582546047764
2012,Callinectes sapidus_R,0.8113225058004641,0.815861130020422,0.8222147599644705,0.6974284627537961,0.5489350709519287,0.3914347042066101,-0.12478629721067436,-0.15750036674531864,0.004538624219957987
2012,Centropomus undecimalis_A,0.6558485463150777,0.7537533323979234,0.6712878763812435,0.5707593108168574,0.3337826679353645,0.31783303285809017,-0.10052856556438616,-0.015949635077274316,0.0979047860828457
